PosX	PosY	PosZ		ForceX	ForceY	ForceZ		ThetaX	ThetaY	ThetaZ		TorqueX	TorqueY	TorqueZ		EstTorqueX	EstTorqueY	EstTorqueZ		ResidTorqueX	ResidTorqueY	ResidTorqueZ
3.5	0.4	0		0	0	400		-0.56	-9.19	-0.38		160	-1400	0		145.31	-1365.68	0		14.69	-34.32	0
3.5	0.4	0		0	0	420		-0.69	-9.38	-0.31		168	-1470	0		165.9	-1393.64	0		2.1	-76.36	0
3.5	0.4	0		0	0	440		-0.69	-10.81	-0.38		176	-1540	0		176.58	-1605.3	0		-0.58	65.3	0
3.5	0.4	0		0	0	460		-0.81	-11.12	-0.5		184	-1610	0		192.3	-1658.7	0		-8.3	48.7	0
3.5	0.4	0		0	0	480		-0.69	-11.19	-0.69		192	-1680	0		169.93	-1671.96	0		22.07	-8.04	0
3.5	0.4	0		0	0	500		-1	-12.75	-0.5		200	-1750	0		232.04	-1899.86	0		-32.04	149.86	0
3.5	0.4	0		0	0	520		-0.62	-11.69	-0.56		208	-1820	0		169.85	-1738.36	0		38.15	-81.64	0
3.5	0.4	0		0	0	540		-0.75	-12.81	-0.5		216	-1890	0		198.7	-1902.78	0		17.3	12.78	0
3.5	0.4	0		0	0	560		-1.19	-15.31	-0.69		224	-1960	0		274.08	-2284.73	0		-50.08	324.73	0
3.5	0.4	0		0	0	580		-0.88	-14	-0.62		232	-2030	0		222.13	-2083.55	0		9.87	53.55	0
3.5	0.4	0		0	0	600		-0.88	-13.88	-0.5		240	-2100	0		225.02	-2060.52	0		14.98	-39.48	0
3.5	0.1	0		0	0	20		0.06	-1.25	-0.06		2	-70	0		0.56	-182.82	0		1.44	112.82	0
3.5	0.1	0		0	0	40		0.06	-1.06	0.12		4	-140	0		4.88	-148.27	0		-0.88	8.27	0
3.5	0.1	0		0	0	60		0.06	-1.12	0		6	-210	0		1.45	-162.2	0		4.55	-47.8	0
3.5	0.1	0		0	0	80		0.06	-2.38	-0.06		8	-280	0		10.47	-346.57	0		-2.47	66.57	0
3.5	0.1	0		0	0	100		0.06	-2.19	-0.06		10	-350	0		8.82	-319.27	0		1.18	-30.73	0
3.5	0.1	0		0	0	120		0.12	-2.19	-0.12		12	-420	0		-1.64	-320.15	0		13.64	-99.85	0
3.5	0.1	0		0	0	140		0.12	-3.25	-0.12		14	-490	0		7.72	-474.8	0		6.28	-15.2	0
3.5	0.1	0		0	0	160		0.12	-3.56	-0.06		16	-560	0		12.47	-517.87	0		3.53	-42.13	0
3.5	0.1	0		0	0	180		0.12	-3.44	-0.12		18	-630	0		9.38	-502.09	0		8.62	-127.91	0
3.5	0.1	0		0	0	200		0.25	-4.88	-0.19		20	-700	0		3.11	-710.65	0		16.89	10.65	0
3.5	0.1	0		0	0	220		0.19	-4.88	-0.12		22	-770	0		13.58	-709.78	0		8.42	-60.22	0
3.5	0.1	0		0	0	240		0.19	-4.94	-0.12		24	-840	0		14.13	-718.88	0		9.87	-121.12	0
3.5	0.1	0		0	0	260		0.19	-5.88	-0.19		26	-910	0		20.4	-857.75	0		5.6	-52.25	0
3.5	0.1	0		0	0	280		0.12	-5.56	-0.19		28	-980	0		26.12	-813.81	0		1.88	-166.19	0
3.5	0.1	0		0	0	300		0.25	-6	-0.25		30	-1050	0		11.04	-876.82	0		18.96	-173.18	0
3.5	0.1	0		0	0	320		0.25	-7.88	-0.56		32	-1120	0		17.61	-1161.82	0		14.39	41.82	0
3.5	0.1	0		0	0	340		0.31	-7.81	-0.31		34	-1190	0		16.55	-1141.51	0		17.45	-48.49	0
3.5	0.1	0		0	0	360		0.25	-6.94	-0.25		36	-1260	0		19.3	-1013.28	0		16.7	-246.72	0
3.5	0.1	0		0	0	380		0.19	-9	-0.69		38	-1330	0		32.02	-1331.95	0		5.98	1.95	0
3.5	0.1	0		0	0	400		0.25	-9.31	-0.56		40	-1400	0		30.28	-1371.05	0		9.72	-28.95	0
3.5	0.1	0		0	0	420		0.19	-8.94	-0.31		42	-1470	0		43.42	-1308.35	0		-1.42	-161.65	0
3.5	0.1	0		0	0	440		0.25	-10.25	-0.31		44	-1540	0		46.52	-1497.84	0		-2.52	-42.16	0
3.5	0.1	0		0	0	460		0.38	-11.25	-0.44		46	-1610	0		34.4	-1645.14	0		11.6	35.14	0
3.5	0.1	0		0	0	480		0.38	-10.31	-0.38		48	-1680	0		28.13	-1506.27	0		19.87	-173.73	0
3.5	0.1	0		0	0	500		0.5	-11.62	-0.5		50	-1750	0		18.77	-1699.06	0		31.23	-50.94	0
3.5	0.1	0		0	0	520		0.38	-12.75	-0.19		52	-1820	0		55.59	-1853.81	0		-3.59	33.81	0
3.5	0.1	0		0	0	540		0.38	-12.44	-0.38		54	-1890	0		46.86	-1815.57	0		7.14	-74.43	0
3.5	0.1	0		0	0	560		0.44	-13.81	-0.56		56	-1960	0		44.54	-2021.42	0		11.46	61.42	0
3.5	0.1	0		0	0	580		0.44	-14.19	-0.56		58	-2030	0		47.84	-2076	0		10.16	46	0
3.5	0.1	0		0	0	600		0.5	-14.25	-0.56		60	-2100	0		39.92	-2083.55	0		20.08	-16.45	0
3.5	0.1	0		0	0	620		0.31	-15.56	-0.56		62	-2170	0		76.91	-2279.23	0		-14.91	109.23	0
3.5	0.1	0		0	0	640		0.5	-15.12	-0.88		64	-2240	0		37.68	-2223	0		26.32	-17	0
3.5	0.1	0		0	0	660		0.5	-15.69	-0.69		66	-2310	0		48.61	-2297.62	0		17.39	-12.38	0
3.5	-0.2	0		0	0	20		0.12	-1.12	0		-4	-70	0		-7.03	-160.66	0		3.03	90.66	0
3.5	-0.2	0		0	0	40		0.12	-1.19	0		-8	-140	0		-6.48	-169.76	0		-1.52	29.76	0
3.5	-0.2	0		0	0	60		0.19	-1.06	0		-12	-210	0		-16.05	-150.02	0		4.05	-59.98	0
3.5	-0.2	0		0	0	80		0.31	-2.38	-0.06		-16	-280	0		-23.42	-340.39	0		7.42	60.39	0
3.5	-0.2	0		0	0	100		0.31	-2.44	-0.06		-20	-350	0		-22.87	-349.49	0		2.87	-0.51	0
